"id","nama_agency","pagu","hps","harga_penawaran","nama_pemenang","pemenang_2","harga_penawaran_2",cluster
6480011,'LPSE Kementerian Keuangan Kalimantan Tengah',987000000,986000000,756500000,'CV. CISANDANA MANGGALA ARTA','CV. Karya Baru',919795000,C0
6480011,'LPSE Kementerian Keuangan Kalimantan Tengah',987000000,986000000,756500000,'CV. CISANDANA MANGGALA ARTA','CV. KINDAI LIMPUAR',800000000,C0
6480011,'LPSE Kementerian Keuangan Kalimantan Tengah',987000000,986000000,756500000,'CV. CISANDANA MANGGALA ARTA','CV. Prima Hasta Mandiri',881279000,C0
6480011,'LPSE Kementerian Keuangan Kalimantan Tengah',987000000,986000000,756500000,'CV. CISANDANA MANGGALA ARTA','CV. RAODAH',866000000,C0
6480011,'LPSE Kementerian Keuangan Kalimantan Tengah',987000000,986000000,756500000,'CV. CISANDANA MANGGALA ARTA','CV. Sinar Pandaran',827741000,C0
6480011,'LPSE Kementerian Keuangan Kalimantan Tengah',987000000,986000000,756500000,'CV. CISANDANA MANGGALA ARTA','CV. SRI ARY MULTI',880500000,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','CV MAYA PADA',126008000,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','CV. AGOESTIEN',112296000,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','CV. ANUGRAH ABADI',127183000,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','cv. cahaya persada',124844850,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','CV. RAMADHAN SAPUTRA',114715000,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','CV. SARI MULIA',124931600,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','CV. TUNAS JAYA MAKMUR',112068000,C0
6482011,'LPSE Kementerian Keuangan Sumatera Selatan',159330000,131308000,108635000,'CV.MULYA KARYA','CV.NUSANTARA JAYA PERKASA',115989000,C0
6485011,'LPSE Kementerian Keuangan Jawa Timur',353364200,352972000,334439000,'CV. BUDI MAKMUR','CV. JEMBAR USAHA',323631000,C0
6487011,'Bapepam - LK',249522,246912,2039994990,'PT.Optima Bahagia','CV AULIMINDO UTAMA',2049190000,C0
6489011,'Mahkamah Agung',1160973,1153284,1033300,'PT. SATRIA GUNA UTAMA','Daksinapati Makara Putra',1098206,C0
6489011,'Mahkamah Agung',1160973,1153284,1033300,'PT. SATRIA GUNA UTAMA','Intraco Lestari',1130000,C0
6489011,'Mahkamah Agung',1160973,1153284,1033300,'PT. SATRIA GUNA UTAMA','PT.KARUNIAGUNA INTISEMESTA',957113,C0
6490011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',1398729000,1205948000,570328828,'PT. Saka Mitra Kompetensi','CV. Lintas Media',913183000,C0
6490011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',1398729000,1205948000,570328828,'PT. Saka Mitra Kompetensi','PT. PERCETAKAN PAS',834032300,C0
6490011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',1398729000,1205948000,570328828,'PT. Saka Mitra Kompetensi','PT. SEMADI BALI UTAMA',905989425,C0
6490011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',1398729000,1205948000,570328828,'PT. Saka Mitra Kompetensi','UD. CATUR PUTRA',703746000,C0
6490011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',1398729000,1205948000,570328828,'PT. Saka Mitra Kompetensi','UD. PUTRA ADHI',817627000,C0
6490011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',1398729000,1205948000,570328828,'PT. Saka Mitra Kompetensi','UD. SASTRA GUNA',710540000,C0
6490011,'LPSE Kementerian Keuangan Nusa Tenggara Barat',1398729000,1205948000,570328828,'PT. Saka Mitra Kompetensi','UD.SWASTA NULUS',930211000,C0
